1;Ленинградская обл. Санкт-Петербург;2970;76
2;Москва Москва;2970;76
3;Московская обл. Москва;2970;76
4;Белгородская обл. Белгород;3668;122
5;Брянская обл. Брянск;3668;122
6;Владимирская обл. Владимир;3668;122
7;Ивановская обл. Иваново;3668;122
8;Калужская обл. Калуга;3668;122
9;Липецкая обл. Липецк;3668;122
10;Нижегородская обл. Нижний Новгород;3668;122
11;Новгородская обл. Великий Новгород;3668;122
12;Орловская обл. Орел;3668;122
13;Астраханская обл. Астрахань;4433;182
14;Волгоградская обл. Волгоград;4433;182
15;Вологодская обл. Вологда;4433;182
16;Воронежская обл. Воронеж;4433;182
17;Кировская обл. Киров;4433;182
18;Костромская обл. Кострома;4433;182
19;Краснодарский край Краснодар;4433;182
20;Курганская обл. Курган;4433;182
21;Курская обл. Курск;4433;182
22;Мурманская обл. Мурманск;4433;182
23;Оренбургская обл. Оренбург;4433;182
24;Пензенская обл. Пенза;4433;182
25;Пермская обл. Пермь;4433;182
26;Псковская обл. Псков;4433;182
27;Республика Башкортостан Уфа;4433;182
28;Республика Дагестан Махачкала;4433;182
29;Республика Коми Сыктывкар;4433;182
30;Республика Марий Эл Йошкар-Ола;4433;182
31;Республика Мордовия Саранск;4433;182
32;Алтайский край Барнаул;4585;198
33;Архангельская обл. Архангельск;4585;198
34;Кабардино-Балкарская республика Нальчик;4585;198
35;Калининградская обл. Калининград;4585;198
36;Карачаево-Черкесская республика Черкесск;4585;198
37;Кемеровская обл. Кемерово;4585;198
38;Красноярский край Красноярск;4585;198
39;Ненецкий АО Нарьян-Мар;4585;198
40;Новосибирская обл. Новосибирск;4585;198
41;Омская обл. Омск;4585;198
42;Республика Адыгея Майкоп;4585;198
43;Республика Алтай Горно-Алтайск;4585;198
44;Республика Ингушетия Назрань;4585;198
45;Республика Калмыкия Элиста;4585;198
46;Республика Карелия Петрозаводск;4585;198
47;Иркутская обл. Иркутск;5302;243
48;Республика Бурятия Улан-Удэ;5302;243
49;Амурская обл. Благовещенск;5870;265
50;Еврейская АО Биробиджан;5870;265
51;Камчатская обл. Петропавловск-Камчатский;5870;265
52;Магаданская обл. Магадан;5870;265
53;Приморский край Владивосток;5870;265
